0对话内容,1对话切换,2自机A：,3表情_白莲,4自机B：,5表情_神子,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
大结界的状态如何,0,1,2,0,0,0,0,0,0,a,0,0
还能继续维持吗？,0,1,2,0,0,0,0,0,0,0,0,0
    情况不容乐观,1,0,3,1,4,0,0,0,0,b,0,0
    幻想与现实依旧很模糊,1,0,3,1,4,0,0,0,0,0,0,0
    魔力的使用也不顺畅,0,0,3,1,3,0,0,0,0,0,0,0
    崩溃只是时间问题,0,0,3,1,3,0,0,0,0,0,0,0
    那现世的摩天大楼,1,1,6,0,3,0,0,0,0,0,0,0
    是危机降临的征兆……,1,1,6,0,3,0,0,0,0,0,0,0
 有别的力量在持续进行破坏,0,0,3,1,0,0,0,0,0,0,0,0
 很可能是地狱的逃犯,0,0,3,1,0,0,0,0,0,0,0,0
 如果对方真有这般力量的话,1,0,3,1,3,0,0,0,0,0,0,0
 情况真的不容乐观,1,0,3,1,3,0,0,0,0,0,0,0
    我们必须及时将其击溃,0,0,3,1,4,0,0,0,0,0,0,0
    取得最优的解,0,0,3,1,4,0,0,0,0,0,0,0
 再这样下去的话,1,1,2,0,0,0,0,0,0,0,0,0
 汹涌的外界潮流会吞噬一切,1,1,2,0,0,0,0,0,0,0,0,0
   幻想乡的一切都会崩坏,0,1,3,0,0,0,0,0,0,0,0,0
   那真是可怕的光景,0,1,3,0,0,0,0,0,0,0,0,0
 这么美丽的地方,1,0,3,0,0,1,1,0,0,c,0,0
 原来叫幻想乡啊,1,0,3,0,0,1,1,0,0,0,0,0
   可惜它就要变为废墟了,0,0,3,0,0,1,4,0,0,0,0,0
   就像曾经的非天界一样,0,0,3,0,0,1,4,0,0,0,0,0
说出这般残酷的话,1,1,6,0,0,0,0,0,0,0,0,0
你究竟是什么人？,1,1,6,0,0,0,0,0,0,0,0,0
我乃星罗,0,0,0,0,0,1,1,0,0,0,0,0
逆天而行的复仇者,0,0,0,0,0,1,1,0,0,0,0,0
  这世间秩序终将被我毁灭,1,0,0,0,0,1,3,0,0,0,0,0
  幻想乡不过是其中之一,1,0,0,0,0,1,3,0,0,0,0,0
    竟然妄想毁灭一切秩序,0,1,3,0,0,0,0,0,0,0,0,0
    你是想将世间变为无间地狱吗？,0,1,3,0,0,0,0,0,0,0,0,0
然而万物之法就像日月在天,1,0,3,1,2,0,0,0,0,0,0,0
是不言自明的真理,1,0,3,1,2,0,0,0,0,0,0,0
    狂人之言,0,0,3,1,7,0,0,0,0,0,0,0
    要如何撼动秩序之光？,0,0,3,1,7,0,0,0,0,0,0,0
     呵，日月啊,1,0,3,0,0,1,2,0,0,0,0,0
     你们说出了我十分想念的东西,1,0,3,0,0,1,2,0,0,0,0,0
    五十亿年太久了,0,0,3,0,0,1,6,0,0,0,0,0
    应该现在就粉碎她们！,0,0,3,0,0,1,6,0,0,0,0,0
     毁灭日月！？,1,1,5,0,0,0,2,0,0,0,0,0
     这怎么可能,0,0,3,1,4,0,2,0,0,0,0,0
撼动秩序本就可笑,1,0,3,1,2,0,2,0,0,0,0,0
毁灭日月更是妄想,1,0,3,1,2,0,2,0,0,0,0,0
    依我之见,0,0,3,1,7,0,2,0,0,0,0,0
    你连这幻想乡也未必能破坏的了,0,0,3,1,7,0,2,0,0,0,0,0
  不可能么？,1,0,3,0,0,1,5,0,0,0,0,0
  哼！你们也未免太小看我,1,0,3,0,0,1,5,0,0,0,0,0
 为了得到至高神的赐福,0,0,3,0,0,1,0,0,0,0,0,0
 我忍受了千百万年的酷寒,0,0,3,0,0,1,0,0,0,0,0,0
终于在地狱深渊中,1,0,3,0,0,1,2,0,0,0,0,0
集齐全部非天之力,1,0,3,0,0,1,2,0,0,0,0,0
获得了无敌的赐福,0,0,3,0,0,1,1,0,0,0,0,0
毁灭日月只不过是手到擒来,0,0,3,0,0,1,1,0,0,0,0,0
无论身处虚幻还是身处现实,1,0,12,0,3,1,2,0,0,0,0,0
没有任何存在能伤到我！,1,0,12,0,3,1,2,0,0,0,0,0
      最终我将要毁灭三界,0,0,3,0,0,1,6,0,0,0,0,1
      向天神复仇！,0,0,3,0,0,1,6,0,0,0,0,1
       又有谁可以阻拦我,1,0,3,0,0,1,2,0,0,0,0,1
       是你们这些蝼蚁吗？,1,0,3,0,0,1,2,0,0,0,0,1
   南无三——,0,1,5,0,0,0,2,0,0,0,0,0
   要来了吗，至高神赐福！,0,1,5,0,0,0,2,0,0,0,0,0
  大梵的老毛病了,1,1,4,0,0,0,2,0,0,0,0,0
  总是赐福这般危险之人……,1,1,4,0,0,0,2,0,0,0,0,0
  这可真是形势严峻,0,0,3,1,4,0,2,0,0,0,0,0
  但也是算意料之中的事态,0,0,3,1,4,0,2,0,0,0,0,0
在我复仇之路前方的这结界,1,0,3,0,0,1,0,0,0,0,0,0
不过是一层纸而已,1,0,3,0,0,1,0,0,0,0,0,0
但是不毁灭它,0,0,3,0,0,1,1,0,0,0,0,0
就没法去往现世,0,0,3,0,0,1,1,0,0,0,0,0
  你们就老老实实接受命运,1,0,3,0,0,1,2,0,0,0,0,0
  准备好迎接轮回吧,1,0,3,0,0,1,2,0,0,0,0,0
  复仇之路上的第一个祭品,0,0,3,0,0,1,3,0,0,0,0,0
  就决定是你了，幻想乡！,0,0,3,0,0,1,3,0,0,0,0,0
     企图破坏一切的恶神,1,0,3,1,0,0,0,0,0,0,0,0
     实乃天道之敌,1,0,3,1,0,0,0,0,0,0,0,0
      身为司掌天道者,0,0,3,1,3,0,0,0,0,0,0,1
      我是不会让你得逞的！,0,0,3,1,3,0,0,0,0,0,0,1
 为了幻想乡,1,1,12,0,3,0,0,0,0,0,0,0
 也为了这世间众生,1,1,12,0,3,0,0,0,0,0,0,0
    千万无量的法之威光啊,0,1,16,0,3,0,0,0,0,0,0,1
    惩治邪恶之人吧！,0,1,16,0,3,0,0,0,0,0,0,1
   胆敢阻拦阿修罗的人,1,0,12,0,3,1,6,0,0,0,0,0
   都会在痛苦中走向毁灭！,1,0,12,0,3,1,6,0,0,0,0,0
罗波那、水持、伯利……,0,0,12,0,3,1,2,0,0,0,-1,0
曾与天抗争的诸阿修罗王啊,0,0,12,0,3,1,2,0,0,0,0,0
       见证吧！现在正是复仇之时！,1,0,12,0,3,1,8,0,0,0,1,1
       阿修罗的怒火必将烧尽一切！,1,0,12,0,3,1,8,0,0,0,0,1
