0对话内容,1对话切换,2自机A：,3表情_灵梦,4自机B：,5表情_紫,6BossA：,7表情_美夜香,8BossB：,9无,10立绘出场,11BGM切换,12特殊对话框
   好冷，天气越来越糟了,0,1,6,0,0,0,0,0,0,a,0,0
 这股寒流真是不寻常,1,1,1,0,0,0,0,0,0,0,0,0
 感觉气力都被抽走了似的,1,1,1,0,0,0,0,0,0,0,0,0
    再坚持一下！,0,0,1,1,0,0,0,0,0,b,0,0
  拿登山比喻的话,1,0,1,1,1,0,0,0,0,0,0,0
  现在还没走完一合目呢,1,0,1,1,1,0,0,0,0,0,0,0
 唯独不想被你这么说……,0,1,5,0,0,0,0,0,0,0,0,0
 现在情况危急，时间紧迫,1,1,8,0,0,0,0,0,0,0,0,0
 往这边走真的正确吗？,1,1,8,0,0,0,0,0,0,0,0,0
绳在细处断,0,0,8,1,3,0,0,0,0,0,0,0
结界最薄弱处肯定会有什么线索……,0,0,8,1,3,0,0,0,0,0,0,0
        站住！,1,0,8,0,0,1,1,0,0,c,0,0
  手放在两边，不准动！,0,0,8,0,0,1,1,0,0,0,0,0
  脸转过来！,0,0,8,0,0,1,1,0,0,0,0,0
        你是谁？,1,1,4,0,0,0,0,0,0,0,0,0
  嗯……特征对不上……,0,0,4,0,0,1,0,0,0,0,0,0
你们是谁？,1,0,4,0,0,1,5,0,0,0,0,0
这里应该没有能活动的人了,1,0,4,0,0,1,5,0,0,0,0,0
  先回答我的问题!,0,1,2,0,0,0,0,0,0,0,0,0
  你刚刚说的，“没有能活动的人”,1,1,3,0,0,0,0,0,0,0,0,0
  是什么意思？,1,1,3,0,0,0,0,0,0,0,0,0
   弱小的人类，知道了也没有意义,0,0,3,0,0,1,2,0,0,0,0,0
我现在公务在身，无可奉告,1,0,3,0,0,1,2,0,0,0,0,0
    态度可真差啊,0,1,2,0,0,0,0,0,0,0,0,0
       (“公务”？),1,0,2,1,2,0,0,0,0,0,0,-1
好心警告你们,0,0,2,0,2,1,0,0,0,0,0,0
大雪天就老实回家待着，不要出来,0,0,2,0,2,1,0,0,0,0,0,0
  等我们将危机解决之后,1,0,2,0,2,1,3,0,0,0,0,0
  寒流自然就会停止,1,0,2,0,2,1,3,0,0,0,0,0
  再等下去大结界就会彻底破碎了,0,1,3,0,2,0,0,0,0,0,0,0
  幻想乡的危机由我们来解决！,0,1,3,0,2,0,0,0,0,0,0,0
    把你知道的都说出来,1,1,3,0,2,0,0,0,0,0,-1,1
    不然我就动手了！,1,1,3,0,2,0,0,0,0,0,0,1
哼哼哼，不知天高地厚的井底之蛙,0,0,3,0,2,1,2,0,0,0,1,0
  来尝尝看吧！,1,0,3,0,2,1,3,0,0,0,0,1
  三界第一的速度和力量！,1,0,3,0,2,1,3,0,0,0,0,1
