0对话内容,1对话切换,2自机A：,3表情_魔理沙,4自机B：,5表情_摩多罗,7BossA：,7表情_星罗,8BossB：,9表情,10立绘出场,11BGM切换,12特殊对话框
 嘶……又是这熟悉的感觉,0,1,2,0,0,0,0,0,0,a,0,0
 冰冷到令四肢麻木的寒意,0,1,2,0,0,0,0,0,0,0,0,0
     二童子向我汇报过,1,0,2,1,2,0,0,0,0,b,0,0
     这里的以太浓度远低于正常水平,1,0,2,1,2,0,0,0,0,0,0,0
    让她们全天三十六小时激发潜能,0,0,2,1,1,0,0,0,0,0,0,0
    也不过是是杯水车薪,0,0,2,1,1,0,0,0,0,0,0,0
远方的外界高楼清晰可见,1,0,2,1,2,0,0,0,0,0,0,0
看来大结界已经岌岌可危了,1,0,2,1,2,0,0,0,0,0,0,0
   你也是黑心老板么……,0,1,6,0,2,0,0,0,0,0,0,0
   还好我没有当你的弟子,0,1,6,0,2,0,0,0,0,0,0,0
     还是尽快找到敌人吧,1,1,4,0,2,0,0,0,0,0,0,0
    这附近有人正在用暴力破坏结界,0,0,0,1,1,0,0,0,0,0,0,0
     而且从受损程度来看,1,0,0,1,2,0,0,0,0,0,0,0
     对方的实力不俗,1,0,0,1,2,0,0,0,0,0,0,0
刚才雪兔似乎在给我们引路,0,0,0,1,1,0,0,0,0,0,0,0
那逃犯很有可能就在附近,0,0,0,1,1,0,0,0,0,0,0,0
    真是个顽强的人类呀,1,0,0,0,2,1,1,0,0,c,0,0
    以及你身后那个……隐秘的神明,1,0,0,0,2,1,1,0,0,0,0,0
    八寒地狱那位制作了严苛的净土,0,0,0,0,2,1,7,0,0,0,0,0
    也没能阻止你们飞上天空,0,0,0,0,2,1,7,0,0,0,0,0
幻想乡比你想象得坚韧的多,1,0,0,1,0,0,7,0,0,0,0,0
才不会那么容易就放弃抵抗,1,0,0,1,0,0,7,0,0,0,0,0
 垂死挣扎的地方,0,0,0,0,2,1,5,0,0,0,0,0
 原来叫幻想乡啊,0,0,0,0,2,1,5,0,0,0,0,0
 看来就要成为我亲眼见证下,1,0,0,0,2,1,4,0,0,0,0,0
 消亡的众多世界之一了,1,0,0,0,2,1,4,0,0,0,0,0
     听着就让人背后发凉,0,1,6,0,2,0,7,0,0,0,0,0
     你究竟是什么人？,0,1,6,0,2,0,7,0,0,0,0,0
我乃星罗,1,0,2,0,2,1,1,0,0,0,0,0
逆天而行的复仇者,1,0,2,0,2,1,1,0,0,0,0,0
 对于濒临毁灭的幻想乡而言,0,0,2,0,2,1,3,0,0,0,0,0
 我只是个过路人而已,0,0,2,0,2,1,3,0,0,0,0,0
过路人怎么会破坏大结界？,1,1,3,0,2,0,0,0,0,0,0,0
明明是被地狱通缉的罪犯吧,1,1,3,0,2,0,0,0,0,0,0,0
     把地狱搅得一团混乱,0,1,5,0,2,0,0,0,0,0,0,0
     同时还牵连了幻想乡,0,1,5,0,2,0,0,0,0,0,0,0
 因为一切秩序都是我的敌人,1,0,2,0,2,1,2,0,0,0,0,0
 你们自然也不例外,1,0,2,0,2,1,2,0,0,0,0,0
    但我现在要去外界复仇,0,0,2,0,2,1,0,0,0,0,0,0
    所以先放你们一马,0,0,2,0,2,1,0,0,0,0,0,0
     外界？,1,0,2,1,1,0,0,0,0,0,0,0
     那才是你的目标吗？,1,0,2,1,1,0,0,0,0,0,0,0
     对，天神塑造的外界,0,0,2,0,2,1,1,0,0,0,0,0
     正是我最憎恶的世界,0,0,2,0,2,1,1,0,0,0,0,0
    可恨的仇敌高悬在天穹,1,0,2,0,2,1,2,0,0,0,0,0
    把丑恶的光芒洒向大地,1,0,2,0,2,1,2,0,0,0,0,0
   那光里满含着讥笑与蔑视,0,0,2,0,2,1,2,0,0,0,0,0
   真是令人作呕,0,0,2,0,2,1,2,0,0,0,0,0
  与天神抗争的危险人物,1,0,2,1,1,0,0,0,0,0,0,0
  这家伙是“非天”呐……,1,0,2,1,1,0,0,0,0,0,0,0
  恣意妄为、蔑视秩序,0,0,2,1,2,0,0,0,0,0,0,0
  给三界带来危机的狂战士,0,0,2,1,2,0,0,0,0,0,0,0
 哼！这些都是天神洗脑世人,1,0,2,0,2,1,5,0,0,0,0,0
 制造的刻板印象罢了,1,0,2,0,2,1,5,0,0,0,0,0
 奸诈之人最擅长做这些,0,0,2,0,2,1,2,0,0,0,0,0
 毕竟历史都是胜利者书写的,0,0,2,0,2,1,2,0,0,0,0,0
   这可不是洗脑,1,1,4,0,2,0,0,0,0,0,0,0
    你自己的所作所为,0,1,3,0,2,0,0,0,0,0,0,0
    不正是在破坏秩序吗？,0,1,3,0,2,0,0,0,0,0,0,0
 那是因为我必须向他们复仇,1,0,2,0,2,1,2,0,0,0,0,0
 所以不得不破坏结界,1,0,2,0,2,1,2,0,0,0,0,0
 我要让他们付出毁灭的代价,0,0,2,0,2,1,6,0,0,0,0,1
 就像他们曾经对我们那样！,0,0,2,0,2,1,6,0,0,0,0,1
    不仅是为了阿修罗一族,1,0,2,0,2,1,0,0,0,0,0,0
    更是为了我自己,1,0,2,0,2,1,0,0,0,0,0,0
虽然我不知道你遭遇过什么,0,0,2,1,1,0,0,0,0,0,0,0
但你有没有思考过,0,0,2,1,1,0,0,0,0,0,0,0
 会被大结界阻挡的话,1,0,2,1,4,0,0,0,0,0,0,0
 不就说明你已是虚幻之人？,1,0,2,1,4,0,0,0,0,0,0,0
 只有弱小之人才需要,0,0,2,0,2,1,3,0,0,0,0,0
 依靠结界来维持幻想的存在,0,0,2,0,2,1,3,0,0,0,0,0
  待我将结界撕裂,1,0,2,0,2,1,0,0,0,0,0,0
  外界的真实就会淹没一切,1,0,2,0,2,1,0,0,0,0,0,0
      只剩下血淋淋的现实,0,0,2,0,2,1,2,0,0,0,0,0
      幻想也不复存在,0,0,2,0,2,1,2,0,0,0,0,0
    而历经千万年苦修得来赐福的我,1,0,2,0,2,1,6,0,0,0,0,1
    已经超越了这一切秩序！,1,0,2,0,2,1,6,0,0,0,0,1
 无论身处虚幻还是身处现实,0,0,2,0,2,1,2,0,0,0,0,0
 没有任何存在能伤到我！,0,0,2,0,2,1,2,0,0,0,0,0
